month,channel,orders,units,revenue,sessions,new_customers,repeat_customers,rev_home_decor,rev_kitchen,rev_bedding,rev_lighting,rev_outdoor
2024-01,Organic Search,871,1742,71400,31100,592,279,19278,17136,16422,10710,7854
2024-01,Paid Search,738,1476,54600,35100,576,162,14742,13104,12558,8190,6006
2024-01,Paid Social,323,614,21000,23100,275,48,5670,5040,4830,3150,2310
2024-01,Email,287,603,27300,6800,121,166,7371,6552,6279,4095,3003
2024-01,Direct,248,546,27300,7100,129,119,7371,6552,6279,4095,3003
2024-01,Referral,86,172,8400,2900,52,34,2268,2016,1932,1260,924
2024-02,Organic Search,809,1618,66300,28900,550,259,17901,15912,15249,9945,7293
2024-02,Paid Search,685,1370,50700,32600,534,151,13689,12168,11661,7605,5577
2024-02,Paid Social,330,627,21450,23600,281,49,5792,5148,4934,3218,2360
2024-02,Email,267,561,25350,6400,112,155,6845,6084,5831,3803,2789
2024-02,Direct,213,469,23400,6100,111,102,6318,5616,5382,3510,2574
2024-02,Referral,80,160,7800,2700,48,32,2106,1872,1794,1170,858
2024-03,Organic Search,974,1948,79900,34800,662,312,21573,19176,17578,11985,9588
2024-03,Paid Search,794,1588,58750,37800,619,175,15863,14100,12925,8813,7050
2024-03,Paid Social,398,756,25850,28400,338,60,6980,6204,5687,3878,3102
2024-03,Email,322,676,30550,7700,135,187,8249,7332,6721,4583,3666
2024-03,Direct,278,612,30550,7900,145,133,8249,7332,6721,4583,3666
2024-03,Referral,96,192,9400,3200,58,38,2538,2256,2068,1410,1128
2024-04,Organic Search,998,1996,81840,35600,679,319,22097,19642,18005,12276,9821
2024-04,Paid Search,838,1676,62000,39900,654,184,16740,14880,13640,9300,7440
2024-04,Paid Social,458,870,29760,32700,389,69,8035,7142,6547,4464,3571
2024-04,Email,365,767,34720,8700,153,212,9374,8333,7638,5208,4166
2024-04,Direct,271,596,29760,7700,141,130,8035,7142,6547,4464,3571
2024-04,Referral,101,202,9920,3400,61,40,2678,2381,2182,1488,1190
2024-05,Organic Search,1054,2108,86460,37600,717,337,23344,20750,18157,12969,11240
2024-05,Paid Search,885,1770,65500,42100,690,195,17685,15720,13755,9825,8515
2024-05,Paid Social,484,920,31440,34600,411,73,8489,7546,6602,4716,4087
2024-05,Email,386,811,36680,9200,162,224,9904,8803,7703,5502,4768
2024-05,Direct,286,629,31440,8200,149,137,8489,7546,6602,4716,4087
2024-05,Referral,107,214,10480,3600,64,43,2830,2515,2201,1572,1362
2024-06,Organic Search,1026,2052,84150,36600,698,328,22721,20196,17672,12623,10940
2024-06,Paid Search,861,1722,63750,41000,672,189,17213,15300,13388,9563,8288
2024-06,Paid Social,510,969,33150,36400,434,76,8951,7956,6962,4973,4309
2024-06,Email,376,790,35700,9000,158,218,9639,8568,7497,5355,4641
2024-06,Direct,255,561,28050,7300,133,122,7574,6732,5891,4208,3647
2024-06,Referral,104,208,10200,3500,62,42,2754,2448,2142,1530,1326
2024-07,Organic Search,1119,2238,91740,40000,761,358,24770,22018,19265,13761,11926
2024-07,Paid Search,902,1804,66720,43000,704,198,18014,16013,14011,10008,8674
2024-07,Paid Social,556,1056,36140,39700,473,83,9758,8674,7589,5421,4698
2024-07,Email,410,861,38920,9800,172,238,10508,9341,8173,5838,5060
2024-07,Direct,303,667,33360,8700,158,145,9007,8006,7006,5004,4337
2024-07,Referral,113,226,11120,3800,68,45,3002,2669,2335,1668,1446
2024-08,Organic Search,1112,2224,91200,39700,756,356,24624,21888,19152,13680,11856
2024-08,Paid Search,924,1848,68400,44000,721,203,18468,16416,14364,10260,8892
2024-08,Paid Social,614,1167,39900,43900,522,92,10773,9576,8379,5985,5187
2024-08,Email,450,945,42750,10700,189,261,11543,10260,8978,6413,5558
2024-08,Direct,285,627,31350,8100,148,137,8465,7524,6584,4703,4076
2024-08,Referral,116,232,11400,3900,70,46,3078,2736,2394,1710,1482
2024-09,Organic Search,1179,2358,96640,42100,802,377,27059,24160,21261,14496,9664
2024-09,Paid Search,980,1960,72480,46700,764,216,20294,18120,15946,10872,7248
2024-09,Paid Social,650,1235,42280,46400,553,98,11838,10570,9302,6342,4228
2024-09,Email,477,1002,45300,11400,200,277,12684,11325,9966,6795,4530
2024-09,Direct,302,664,33220,8600,157,145,9302,8305,7308,4983,3322
2024-09,Referral,123,246,12080,4100,74,49,3382,3020,2658,1812,1208
2024-10,Organic Search,1280,2560,104960,45700,870,410,30438,27290,23091,14694,9446
2024-10,Paid Search,1064,2128,78720,50700,830,234,22829,20467,17318,11021,7085
2024-10,Paid Social,757,1438,49200,54100,644,113,14268,12792,10824,6888,4428
2024-10,Email,518,1088,49200,12300,218,300,14268,12792,10824,6888,4428
2024-10,Direct,298,656,32800,8500,155,143,9512,8528,7216,4592,2952
2024-10,Referral,134,268,13120,4500,80,54,3805,3411,2886,1837,1181
2024-11,Organic Search,1558,3116,127720,55600,1059,499,39593,35762,26821,16604,8940
2024-11,Paid Search,1281,2562,94760,61000,999,282,29376,26533,19899,12319,6633
2024-11,Paid Social,951,1807,61800,67900,808,143,19158,17304,12978,8034,4326
2024-11,Email,694,1457,65920,16500,291,403,20435,18458,13843,8570,4614
2024-11,Direct,412,906,45320,11800,214,198,14049,12690,9517,5892,3172
2024-11,Referral,168,336,16480,5600,101,67,5109,4614,3461,2142,1154
2024-12,Organic Search,1455,2910,119350,52000,989,466,35805,32225,26257,16709,8355
2024-12,Paid Search,1197,2394,88550,57000,934,263,26565,23909,19481,12397,6199
2024-12,Paid Social,948,1801,61600,67700,806,142,18480,16632,13552,8624,4312
2024-12,Email,648,1361,61600,15400,272,376,18480,16632,13552,8624,4312
2024-12,Direct,350,770,38500,10000,182,168,11550,10395,8470,5390,2695
2024-12,Referral,157,314,15400,5200,94,63,4620,4158,3388,2156,1078
